epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,863.351,0.794,0.81671,0.9979,0.70451,0.65769,0.72167,0.54936,0.84965,0.7411,0.95921,0.0005941,0.0005941,0.0005941
43,883.708,0.78115,0.816,0.99365,0.74141,0.6495,0.73526,0.57058,0.79355,0.70687,0.95558,0.0005842,0.0005842,0.0005842
44,904.237,0.77392,0.80062,0.99391,0.75666,0.64456,0.7215,0.5491,0.85259,0.76934,0.97379,0.0005743,0.0005743,0.0005743
45,924.132,0.77384,0.79046,0.98015,0.79053,0.66761,0.74478,0.57588,0.80448,0.70446,0.96025,0.0005644,0.0005644,0.0005644
46,945.432,0.76046,0.79471,0.97737,0.74829,0.68364,0.75856,0.60241,0.75036,0.68649,0.94083,0.0005545,0.0005545,0.0005545
47,965.678,0.76476,0.79772,0.98867,0.74545,0.73259,0.76959,0.58493,0.87462,0.70254,0.97454,0.0005446,0.0005446,0.0005446
48,986.481,0.76066,0.77442,0.97977,0.75507,0.66719,0.73145,0.57527,0.8054,0.69893,0.9519,0.0005347,0.0005347,0.0005347
49,1007.52,0.76652,0.76671,0.98549,0.78861,0.6751,0.7677,0.60505,0.75872,0.66722,0.93312,0.0005248,0.0005248,0.0005248
50,1027.3,0.75983,0.77143,0.9812,0.72707,0.75127,0.77632,0.59944,0.82062,0.67097,0.94827,0.0005149,0.0005149,0.0005149
51,1047.73,0.74648,0.75029,0.97168,0.75513,0.70651,0.78052,0.61773,0.73057,0.66502,0.92936,0.000505,0.000505,0.000505
52,1067.49,0.7325,0.71702,0.96284,0.73002,0.72569,0.77847,0.5894,0.87071,0.65965,0.9781,0.0004951,0.0004951,0.0004951
53,1087.81,0.76398,0.73708,0.9866,0.7487,0.70998,0.7566,0.5927,0.75422,0.651,0.94007,0.0004852,0.0004852,0.0004852
54,1107.98,0.75145,0.74287,0.98422,0.76962,0.68698,0.76161,0.60468,0.71824,0.64298,0.92742,0.0004753,0.0004753,0.0004753
55,1127.28,0.74176,0.74694,0.97234,0.74779,0.71633,0.77321,0.60623,0.76516,0.66053,0.93966,0.0004654,0.0004654,0.0004654
56,1147.8,0.74139,0.71429,0.97512,0.77887,0.73087,0.77585,0.59826,0.80144,0.64211,0.94638,0.0004555,0.0004555,0.0004555
57,1168.42,0.74448,0.73347,0.97799,0.80038,0.6985,0.76491,0.60451,0.77924,0.62938,0.94248,0.0004456,0.0004456,0.0004456
58,1188.69,0.74448,0.73232,0.97996,0.81758,0.68517,0.78568,0.61637,0.762,0.61971,0.93828,0.0004357,0.0004357,0.0004357
59,1209.65,0.73722,0.7117,0.96696,0.73893,0.73628,0.77078,0.58942,0.79801,0.62854,0.95444,0.0004258,0.0004258,0.0004258
60,1229.9,0.73015,0.68858,0.96888,0.77402,0.75722,0.7793,0.59004,0.86078,0.60959,0.95695,0.0004159,0.0004159,0.0004159
61,1250.74,0.73513,0.69626,0.96673,0.81772,0.7054,0.78166,0.62001,0.69546,0.58348,0.92171,0.000406,0.000406,0.000406
62,1271.23,0.72478,0.68505,0.97029,0.81458,0.68999,0.77165,0.60952,0.75778,0.61641,0.92941,0.0003961,0.0003961,0.0003961
63,1290.68,0.72436,0.67602,0.97889,0.80101,0.74629,0.80068,0.63546,0.74329,0.58721,0.93089,0.0003862,0.0003862,0.0003862
64,1311.21,0.7288,0.69531,0.97454,0.82187,0.72503,0.79735,0.62965,0.75453,0.58356,0.93567,0.0003763,0.0003763,0.0003763
65,1330.74,0.71581,0.66903,0.96833,0.78761,0.74779,0.79708,0.6334,0.73319,0.57646,0.92953,0.0003664,0.0003664,0.0003664
66,1350.87,0.73295,0.68224,0.97511,0.8166,0.73731,0.79691,0.63438,0.73167,0.5651,0.9297,0.0003565,0.0003565,0.0003565
67,1371.12,0.71785,0.67266,0.95577,0.75109,0.77559,0.80334,0.64809,0.70021,0.5691,0.9218,0.0003466,0.0003466,0.0003466
68,1390.91,0.70729,0.65042,0.9545,0.77261,0.80536,0.82969,0.66402,0.7203,0.54681,0.92712,0.0003367,0.0003367,0.0003367
69,1411.68,0.70481,0.65638,0.96657,0.77087,0.75722,0.81715,0.64811,0.75384,0.56022,0.92587,0.0003268,0.0003268,0.0003268
70,1432.8,0.72278,0.65673,0.96385,0.79524,0.75542,0.79448,0.6225,0.78395,0.57994,0.9373,0.0003169,0.0003169,0.0003169
71,1452.94,0.7095,0.65801,0.95673,0.79704,0.74292,0.80603,0.64543,0.69787,0.55304,0.9173,0.000307,0.000307,0.000307
72,1473.74,0.70704,0.63728,0.95811,0.74224,0.80917,0.83213,0.66013,0.72697,0.54832,0.92198,0.0002971,0.0002971,0.0002971
73,1493.93,0.69962,0.63846,0.96494,0.77244,0.78586,0.81179,0.65026,0.70428,0.56299,0.91516,0.0002872,0.0002872,0.0002872
74,1514.19,0.70716,0.64225,0.96113,0.77472,0.8048,0.80773,0.64471,0.71321,0.53763,0.9211,0.0002773,0.0002773,0.0002773
75,1534.61,0.69086,0.61221,0.95771,0.77037,0.79575,0.81631,0.64203,0.74205,0.54362,0.92561,0.0002674,0.0002674,0.0002674
76,1554.15,0.68342,0.6315,0.95897,0.79116,0.78644,0.81331,0.64945,0.73301,0.5397,0.9259,0.0002575,0.0002575,0.0002575
77,1574.23,0.70091,0.6275,0.95348,0.80741,0.77142,0.81504,0.64517,0.73858,0.55929,0.92834,0.0002476,0.0002476,0.0002476
78,1593.8,0.68063,0.61166,0.95386,0.79895,0.77701,0.81686,0.65002,0.70882,0.54185,0.91789,0.0002377,0.0002377,0.0002377
79,1614,0.69089,0.62988,0.95859,0.83946,0.78583,0.82756,0.66575,0.67893,0.51991,0.9115,0.0002278,0.0002278,0.0002278
80,1634.52,0.69395,0.63969,0.95524,0.77498,0.81896,0.83546,0.66973,0.70071,0.52415,0.91813,0.0002179,0.0002179,0.0002179
81,1654.89,0.67227,0.59807,0.94464,0.7709,0.81361,0.83561,0.67064,0.69787,0.5314,0.91562,0.000208,0.000208,0.000208
82,1675.77,0.6704,0.60114,0.94746,0.75979,0.81099,0.82652,0.66329,0.69296,0.5311,0.91761,0.0001981,0.0001981,0.0001981
83,1696.83,0.68392,0.59992,0.95708,0.79213,0.81928,0.829,0.66452,0.70109,0.53207,0.91947,0.0001882,0.0001882,0.0001882
84,1717.1,0.66773,0.58635,0.94726,0.79955,0.81489,0.83834,0.67721,0.70333,0.5102,0.91724,0.0001783,0.0001783,0.0001783
85,1737.75,0.6699,0.59522,0.94446,0.80113,0.80224,0.8369,0.6663,0.72434,0.51688,0.92046,0.0001684,0.0001684,0.0001684
86,1757.23,0.66377,0.58446,0.94503,0.82341,0.79764,0.83405,0.67119,0.68857,0.51534,0.91311,0.0001585,0.0001585,0.0001585
87,1777.72,0.66311,0.56839,0.94962,0.80846,0.82191,0.84014,0.67516,0.69805,0.50711,0.91251,0.0001486,0.0001486,0.0001486
88,1798.13,0.65904,0.59152,0.94219,0.8285,0.79929,0.84198,0.67327,0.7024,0.50317,0.91329,0.0001387,0.0001387,0.0001387
89,1817.51,0.65788,0.58128,0.94329,0.82106,0.81689,0.84842,0.68862,0.67611,0.49371,0.90755,0.0001288,0.0001288,0.0001288
90,1837.67,0.66257,0.56324,0.94582,0.80651,0.82539,0.8453,0.6845,0.68294,0.49844,0.90983,0.0001189,0.0001189,0.0001189
91,1857.73,0.62623,0.4632,0.91896,0.84016,0.7838,0.84039,0.67227,0.71141,0.50863,0.91816,0.000109,0.000109,0.000109
92,1878.25,0.62764,0.45359,0.92022,0.82588,0.80579,0.84245,0.6745,0.70003,0.50378,0.91413,9.91e-05,9.91e-05,9.91e-05
93,1899.12,0.62212,0.45171,0.9144,0.82025,0.80674,0.84521,0.67963,0.67929,0.49171,0.9089,8.92e-05,8.92e-05,8.92e-05
94,1919.16,0.62852,0.43277,0.92127,0.85148,0.79671,0.84715,0.67593,0.70745,0.48982,0.91641,7.93e-05,7.93e-05,7.93e-05
95,1939.73,0.61676,0.43449,0.9185,0.83247,0.81684,0.84748,0.68631,0.67422,0.48224,0.90779,6.94e-05,6.94e-05,6.94e-05
96,1960.49,0.60736,0.43652,0.91324,0.82279,0.81919,0.8494,0.68522,0.67087,0.47923,0.90714,5.95e-05,5.95e-05,5.95e-05
97,1980.17,0.60956,0.42605,0.91208,0.83021,0.81339,0.85402,0.689,0.67299,0.47721,0.90661,4.96e-05,4.96e-05,4.96e-05
98,2000.3,0.60896,0.42158,0.9123,0.83766,0.81378,0.85228,0.68613,0.68357,0.47972,0.90975,3.97e-05,3.97e-05,3.97e-05
99,2019.73,0.60825,0.42511,0.914,0.83523,0.80808,0.85208,0.68318,0.70016,0.48197,0.91341,2.98e-05,2.98e-05,2.98e-05
100,2040.05,0.60752,0.42864,0.91254,0.83887,0.80219,0.85233,0.68483,0.69683,0.48149,0.91235,1.99e-05,1.99e-05,1.99e-05
